stage,shard_id,start_ts,duration_s,notes
save_enc,shard_32,1761272732.590151,0.000000,3_p2p_storage\shards\shard_32.enc
shamir_split,shard_32,1761272732.590151,0.000000,n=5;t=3
distribute_shares,shard_32,1761272732.590151,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_32,1761272732.590151,0.026192,replicated_to=5
encrypt,shard_33,1761272732.6183784,0.000000,rows=3000
save_enc,shard_33,1761272732.6183784,0.000000,3_p2p_storage\shards\shard_33.enc
shamir_split,shard_33,1761272732.6183784,0.000000,n=5;t=3
distribute_shares,shard_33,1761272732.6183784,0.007767,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_33,1761272732.6261451,0.024000,replicated_to=5
encrypt,shard_34,1761272732.650145,0.002223,rows=3000
save_enc,shard_34,1761272732.6523676,0.000000,3_p2p_storage\shards\shard_34.enc
shamir_split,shard_34,1761272732.6523676,0.000000,n=5;t=3
distribute_shares,shard_34,1761272732.6567307,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_34,1761272732.6567307,0.024514,replicated_to=5
encrypt,shard_35,1761272732.681245,0.003516,rows=3000
save_enc,shard_35,1761272732.6867726,0.000000,3_p2p_storage\shards\shard_35.enc
shamir_split,shard_35,1761272732.6867726,0.000000,n=5;t=3
distribute_shares,shard_35,1761272732.6867726,0.004392,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_35,1761272732.6911645,0.019675,replicated_to=5
encrypt,shard_36,1761272732.7135825,0.002174,rows=3000
save_enc,shard_36,1761272732.7157562,0.000000,3_p2p_storage\shards\shard_36.enc
shamir_split,shard_36,1761272732.7174373,0.000000,n=5;t=3
distribute_shares,shard_36,1761272732.7174373,0.001666,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_36,1761272732.7191033,0.025818,replicated_to=5
encrypt,shard_37,1761272732.744921,0.000000,rows=3000
